Name,Category,Latitude,Longitude,Victims
Yatton Park.,Area Unit,-37.721437177,176.148814687,91
Yaldhurst.,Area Unit,-43.497118944,172.523710927,240
Wyndham.,Area Unit,-46.323391546,168.846820959,9
Wymondley.,Area Unit,-36.953891152,174.855713116,17
Wyllies Crossing.,Area Unit,-45.866120085,170.343191124,10
Woolwich.,Area Unit,-39.617495583,176.805001145,84
Woolston West.,Area Unit,-43.540488875,172.675374640,271
Woolston South.,Area Unit,-43.555431736,172.682663098,173
Woodville.,Area Unit,-40.340979896,175.870161700,89
Woodridge.,Area Unit,-41.218522586,174.830969620,7
Woodlands.,Area Unit,-46.344090706,168.585020153,2
Woodhill.,Area Unit,-35.732368866,174.307555003,243
Woodhaugh.,Area Unit,-45.850996202,170.505200120,22
Woodglen.,Area Unit,-36.917713563,174.643675344,151
Woodend.,Area Unit,-43.319466406,172.670884333,53
Woodend West.,Area Unit,-43.323677440,172.658875908,2
Woodend Beach.,Area Unit,-43.345852930,172.692956026,17
Woodbourne.,Area Unit,-41.516944514,173.867967568,2
Woburn South.,Area Unit,-41.222314406,174.903718779,11
Woburn North.,Area Unit,-41.219166949,174.906381561,77
Witherlea.,Area Unit,-41.544201282,173.941858198,60
Witheford.,Area Unit,-36.780754885,174.707227517,40
Wiri.,Area Unit,-37.003379728,174.884033034,662
Winton.,Area Unit,-46.144765087,168.322410419,50
Wingatui.,Area Unit,-45.880076289,170.381249935,17
Windy Ridge.,Area Unit,-36.797163349,174.715499221,32
Windsor.,Area Unit,-46.400359601,168.368956635,65
Windsor Park.,Area Unit,-36.742459345,174.732566129,234
Winchester.,Area Unit,-44.186546240,171.277171601,11
Wilton.,Area Unit,-41.269439830,174.758841175,40
Willis Street-Cambridge Terrace.,Area Unit,-41.293222022,174.779452507,2065
Williams Domain.,Area Unit,-39.914067801,175.063593551,90
Wilford.,Area Unit,-41.224868271,174.890797506,200
Wigram.,Area Unit,-43.550858233,172.552316639,401
Whitney.,Area Unit,-41.518218429,173.954021193,98
Whitikahu.,Area Unit,-37.554568945,175.233932641,109
Whitianga.,Area Unit,-36.821825782,175.695785101,174
Whenuapai West.,Area Unit,-36.792566990,174.614067613,451
Whenuakura.,Area Unit,-39.614079764,174.527077797,18
Whau Valley.,Area Unit,-35.697745318,174.306927462,102
Whatawhata.,Area Unit,-37.792927171,175.157007555,54
Whataupoko.,Area Unit,-38.659596568,178.037100507,92
Whataroa.,Area Unit,-43.252996069,170.332042338,5
Wharewaka.,Area Unit,-38.729734630,176.069703935,18
Wharenui.,Area Unit,-43.534665775,172.579727550,125
Wharekohe-Oakleigh.,Area Unit,-35.803921699,174.195854116,57
Wharekaka.,Area Unit,-38.431012401,178.103523547,102
Whareama.,Area Unit,-40.941837613,175.921037620,20
Whangarei Central.,Area Unit,-35.727002038,174.323462946,847
Whangapouri Creek.,Area Unit,-37.091614874,174.900519515,11
Whangamomona.,Area Unit,-39.079393180,174.870610082,1
Whangamoa.,Area Unit,-41.178139509,173.447854443,26
Whangamata.,Area Unit,-37.200656879,175.863183233,149
Whanawhana.,Area Unit,-39.549885238,176.342622870,1
Whakatu.,Area Unit,-39.611948709,176.892526102,37
Whakatane West.,Area Unit,-37.962014227,176.965969482,130
Whakatane North.,Area Unit,-37.950320913,176.996099249,448
Whakarongo.,Area Unit,-40.329789420,175.700314233,39
Whakaki.,Area Unit,-39.033293727,177.560985509,28
Whaka.,Area Unit,-38.161760461,176.254253207,130
Weymouth West.,Area Unit,-37.045273694,174.859572407,128
Weymouth East.,Area Unit,-37.043040791,174.872272675,199
Westshore.,Area Unit,-39.474620978,176.883823970,87
Westport Urban.,Area Unit,-41.745095021,171.597910790,218
Westport Rural.,Area Unit,-41.846982901,171.599418387,28
Westown.,Area Unit,-39.074772928,174.061320150,157
Weston.,Area Unit,-45.083107028,170.921398855,16
Westmorland.,Area Unit,-43.582854898,172.606673778,29
Westmere.,Area Unit,-36.857161774,174.717050093,208
Westlake.,Area Unit,-36.787063573,174.757823676,388
Westhaven.,Area Unit,-43.493910903,172.674166123,50
Westgate.,Area Unit,-36.826787536,174.611775346,664
Western Hills.,Area Unit,-35.712525931,174.311487556,13
Western Heights.,Area Unit,-38.126744091,176.207440396,204
Westburn.,Area Unit,-43.511502468,172.571126777,81
Westbrook.,Area Unit,-40.360834594,175.577130249,170
West Melton.,Area Unit,-43.619046444,172.515884584,214
West Invercargill.,Area Unit,-46.408611618,168.336223756,126
West Harbour.,Area Unit,-36.823485389,174.627249996,103
West Gore.,Area Unit,-46.105928494,168.928708043,36
West Eyreton.,Area Unit,-43.352614477,172.363818236,24
West End.,Area Unit,-40.368367097,175.608162929,612
Wesley.,Area Unit,-36.904416107,174.731875504,231
Wembley Park.,Area Unit,-39.911672894,175.072306898,68
Wellsford.,Area Unit,-36.292820040,174.528066528,174
Wellington City-Marinas.,Area Unit,,,2
Weld Pass.,Area Unit,-41.545772572,174.075765477,10
Welcome Bay West.,Area Unit,-37.733012126,176.187663957,54
Welcome Bay East.,Area Unit,-37.719730091,176.209919414,124
Welbourn.,Area Unit,-39.067552062,174.092746567,78
Weiti River.,Area Unit,-36.617721990,174.689278420,133
Wawa.,Area Unit,-38.332774146,175.913870086,41
Waverley.,Area Unit,-39.763335404,174.632119411,44
Waverley-Glengarry.,Area Unit,-46.399660444,168.382885594,54
Wattle Farm.,Area Unit,-37.047623193,174.884894989,162
Watlington.,Area Unit,-44.408354780,171.230896795,33
